CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,BNS,309,1,1
1,BNS,305,1,2
2,BNS,318,1,1
2,BNS,331,1,2
2,BNS,316,1,3
3,MV,184,1,1
4,MV,185,1,1
5,BNS,85,1,1
6,EXCISE,32,1,1
6,ARMS,27,1,2
7,BNS,109,1,1
8,BNS,64,1,1
8,BNS,78,1,2
9,BNS,103,1,1
9,BNS,109,1,2
9,BNS,115,1,3
10,BNS,338,1,1
10,IT,66D,1,2
11,BNS,103,1,1
11,BNS,109,1,2
11,BNS,115,1,3
12,BNS,309,1,1
12,BNS,310,1,2
12,BNS,318,1,3
13,BNS,338,1,1
13,BNS,318,1,2
14,BNS,305,1,1
14,BNS,331,1,2
15,BNS,310,1,1
16,BNS,115,1,1
16,BNS,109,1,2
17,EXCISE,32,1,1
17,NDPS,21,1,2
17,NDPS,8,1,3
18,BNS,118,1,1
18,BNS,103,1,2
19,BNS,80,1,1
20,BNS,318,1,1
20,BNS,331,1,2
20,BNS,310,1,3
21,BNS,318,1,1
21,BNS,338,1,2
22,BNS,338,1,1
22,IT,66D,1,2
22,BNS,318,1,3
23,IT,66D,1,1
23,IT,66C,1,2
23,IT,66,1,3
24,BNS,318,1,1
24,BNS,309,1,2
24,BNS,303,1,3
25,BNS,305,1,1
25,BNS,309,1,2
25,BNS,316,1,3
26,BNS,309,1,1
26,BNS,305,1,2
26,BNS,331,1,3
27,BNS,316,1,1
28,BNS,316,1,1
28,BNS,305,1,2
29,BNS,318,1,1
30,BNS,103,1,1
31,BNS,310,1,1
32,MV,184,1,1
33,BNS,316,1,1
33,BNS,305,1,2
33,BNS,318,1,3
34,BNS,118,1,1
34,BNS,105,1,2
34,BNS,109,1,3
35,BNS,331,1,1
36,MV,185,1,1
36,MV,184,1,2
37,BNS,318,1,1
39,BNS,78,1,1
39,BNS,74,1,2
39,BNS,85,1,3
40,BNS,338,1,1
40,BNS,318,1,2
41,BNS,80,1,1
41,BNS,74,1,2
42,IT,66D,1,1
42,BNS,338,1,2
43,IT,66,1,1
43,IT,66C,1,2
43,IT,66D,1,3
44,BNS,316,1,1
44,BNS,309,1,2
45,MV,184,1,1
45,MV,185,1,2
46,IT,66,1,1
46,IT,66C,1,2
46,IT,66D,1,3
47,BNS,309,1,1
47,BNS,303,1,2
47,BNS,305,1,3
48,BNS,109,1,1
48,BNS,115,1,2
48,BNS,103,1,3
49,BNS,140,1,1
50,EXCISE,32,1,1
50,ARMS,25,1,2
52,BNS,115,1,1
52,BNS,109,1,2
53,BNS,105,1,1
54,BNS,303,1,1
54,BNS,318,1,2
54,BNS,316,1,3
55,BNS,310,1,1
55,BNS,309,1,2
55,BNS,303,1,3
56,BNS,303,1,1
57,MV,185,1,1
57,MV,184,1,2
58,BNS,305,1,1
58,BNS,331,1,2
58,BNS,303,1,3
59,BNS,318,1,1
59,IT,66D,1,2
60,MV,184,1,1
60,MV,185,1,2
61,BNS,103,1,1
62,BNS,118,1,1
62,BNS,115,1,2
62,BNS,105,1,3
64,ARMS,25,1,1
65,ARMS,25,1,1
65,NDPS,20,1,2
65,ARMS,27,1,3
66,BNS,318,1,1
67,MV,184,1,1
67,MV,185,1,2
68,BNS,316,1,1
68,BNS,309,1,2
69,BNS,64,1,1
69,BNS,85,1,2
69,BNS,78,1,3
70,BNS,105,1,1
70,BNS,103,1,2
71,MV,184,1,1
71,MV,185,1,2
72,BNS,85,1,1
72,BNS,64,1,2
72,BNS,74,1,3
73,BNS,74,1,1
74,BNS,316,1,1
75,BNS,305,1,1
75,BNS,309,1,2
75,BNS,303,1,3
76,IT,66D,1,1
76,IT,66,1,2
77,BNS,318,1,1
78,MV,184,1,1
79,BNS,305,1,1
79,BNS,331,1,2
79,BNS,316,1,3
80,IT,66D,1,1
80,IT,66,1,2
81,BNS,331,1,1
81,BNS,309,1,2
82,BNS,118,1,1
82,BNS,103,1,2
83,MV,185,1,1
83,MV,184,1,2
84,BNS,338,1,1
84,IT,66D,1,2
84,BNS,318,1,3
85,BNS,316,1,1
86,BNS,189,1,1
86,BNS,112,1,2
89,BNS,105,1,1
90,BNS,78,1,1
90,BNS,64,1,2
91,BNS,80,1,1
91,BNS,140,1,2
91,BNS,74,1,3
92,MV,184,1,1
92,MV,185,1,2
93,BNS,118,1,1
94,BNS,331,1,1
94,BNS,316,1,2
95,MV,185,1,1
95,MV,184,1,2
96,BNS,303,1,1
96,BNS,316,1,2
96,BNS,318,1,3
97,BNS,115,1,1
98,BNS,318,1,1
98,BNS,338,1,2
99,BNS,351,1,1
99,BNS,196,1,2
99,BNS,112,1,3
100,BNS,189,1,1
100,BNS,111,1,2
100,BNS,196,1,3
101,BNS,191,1,1
101,BNS,111,1,2
102,BNS,318,1,1
103,MV,185,1,1
103,MV,184,1,2
104,BNS,318,1,1
104,BNS,310,1,2
104,BNS,303,1,3
105,BNS,310,1,1
105,BNS,318,1,2
106,BNS,103,1,1
107,BNS,310,1,1
108,BNS,118,1,1
108,BNS,103,1,2
110,MV,184,1,1
110,MV,185,1,2
111,BNS,310,1,1
111,BNS,303,1,2
112,BNS,316,1,1
112,BNS,318,1,2
113,BNS,303,1,1
113,BNS,305,1,2
114,BNS,318,1,1
115,BNS,318,1,1
116,EXCISE,32,1,1
116,NDPS,8,1,2
117,BNS,338,1,1
117,BNS,318,1,2
118,BNS,74,1,1
119,BNS,305,1,1
120,MV,185,1,1
120,MV,184,1,2
121,MV,185,1,1
122,BNS,338,1,1
122,BNS,318,1,2
122,IT,66D,1,3
123,BNS,85,1,1
123,BNS,80,1,2
123,BNS,64,1,3
124,BNS,310,1,1
124,BNS,316,1,2
124,BNS,303,1,3
125,BNS,318,1,1
125,BNS,303,1,2
126,BNS,103,1,1
127,BNS,103,1,1
127,BNS,115,1,2
127,BNS,118,1,3
128,MV,184,1,1
128,MV,185,1,2
129,BNS,310,1,1
129,BNS,316,1,2
130,BNS,338,1,1
130,IT,66D,1,2
131,BNS,309,1,1
131,BNS,318,1,2
131,BNS,305,1,3
132,BNS,191,1,1
133,IT,66D,1,1
133,BNS,318,1,2
133,BNS,338,1,3
134,BNS,305,1,1
134,BNS,331,1,2
135,BNS,310,1,1
136,BNS,310,1,1
136,BNS,309,1,2
136,BNS,331,1,3
137,MV,185,1,1
138,BNS,118,1,1
139,BNS,318,1,1
140,BNS,316,1,1
141,BNS,305,1,1
141,BNS,303,1,2
142,BNS,103,1,1
142,BNS,109,1,2
142,BNS,118,1,3
143,BNS,189,1,1
143,BNS,191,1,2
144,BNS,305,1,1
145,BNS,78,1,1
145,BNS,74,1,2
146,MV,184,1,1
147,BNS,112,1,1
148,BNS,196,1,1
148,BNS,111,1,2
149,BNS,309,1,1
150,BNS,111,1,1
150,BNS,196,1,2
150,BNS,351,1,3
151,IT,66D,1,1
151,BNS,318,1,2
152,BNS,309,1,1
152,BNS,318,1,2
153,BNS,189,1,1
154,MV,185,1,1
154,MV,184,1,2
155,BNS,331,1,1
155,BNS,318,1,2
155,BNS,305,1,3
156,BNS,305,1,1
158,BNS,305,1,1
159,BNS,316,1,1
159,BNS,309,1,2
159,BNS,305,1,3
160,BNS,303,1,1
160,BNS,305,1,2
160,BNS,316,1,3
161,BNS,318,1,1
161,BNS,303,1,2
