ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,1,2025-02-27,1,5,114,2311,12,1,1,0
2,5,1,2025-11-08,1,5,105,2357,14,3,1,0
3,7,1,2025-05-21,1,23,467,9076,56,6,1,0
4,8,1,2025-07-25,1,3,60,1398,7,7,1,0
5,9,2,2025-11-15,1,5,111,2641,11,8,1,0
6,10,1,2025-04-23,1,23,464,9078,55,10,1,0
7,10,1,2025-04-26,1,23,464,9129,56,9,1,0
8,12,1,2025-06-29,1,5,109,2595,13,12,1,0
9,13,1,2025-12-31,1,3,56,1689,5,13,1,0
10,14,1,2025-11-18,1,17,346,6753,39,17,1,0
11,18,1,2025-03-20,1,5,104,2641,13,21,1,0
12,19,1,2025-07-23,1,15,308,6383,35,23,1,0
13,20,1,2025-09-18,1,4,91,2029,9,24,1,0
14,21,1,2025-08-20,1,5,103,2181,14,25,1,0
15,22,1,2025-10-02,1,12,258,5401,30,27,1,0
16,24,1,2025-12-10,1,2,32,890,3,28,1,0
17,25,1,2025-05-04,1,4,83,2105,10,29,1,0
18,27,1,2026-01-16,1,23,469,9156,55,31,1,0
19,28,1,2025-09-24,1,5,113,2571,12,33,1,1
20,29,1,2025-04-11,1,5,116,2496,12,34,1,0
21,33,2,2025-02-14,1,10,207,4353,23,39,1,0
22,34,1,2025-08-17,1,10,209,4111,24,40,1,0
23,35,1,2025-08-27,1,11,224,4566,28,41,1,0
24,36,1,2025-11-29,1,8,181,3675,20,42,1,0
25,38,2,2025-09-15,1,5,109,2476,14,44,1,0
26,40,2,2025-06-21,1,5,103,2203,14,47,1,0
27,41,1,2025-01-25,1,25,509,9801,60,49,1,0
28,43,1,2025-10-23,1,31,614,11821,71,51,1,0
29,44,2,2025-10-16,1,17,351,6692,40,52,1,0
30,46,2,2025-04-14,1,27,547,10486,63,54,1,0
31,47,1,2025-09-16,1,5,118,2282,13,55,1,0
32,49,2,2025-01-18,1,22,444,8483,54,57,1,0
33,52,2,2025-07-24,1,8,170,3511,19,60,1,0
34,54,2,2025-08-10,1,5,118,2616,14,61,1,0
35,55,1,2025-02-17,1,5,115,2595,11,63,1,0
36,56,2,2025-06-09,1,5,122,2183,12,66,1,0
37,57,1,2025-09-26,1,30,594,11364,69,67,1,0
38,58,1,2025-03-11,1,9,196,4038,21,68,1,0
39,61,1,2025-07-10,1,5,108,2385,12,72,1,0
40,62,1,2025-09-06,1,5,114,2258,14,74,1,0
41,63,1,2025-08-17,1,26,519,10225,62,75,1,0
42,64,1,2026-02-04,1,26,520,10048,61,77,1,0
43,64,1,2025-12-28,1,26,520,10178,61,78,1,0
44,67,1,2025-04-11,1,13,282,5588,31,79,1,0
45,70,1,2025-11-12,1,3,57,1262,6,83,1,0
46,71,2,2025-07-02,1,23,463,9231,56,84,1,0
47,73,1,2025-08-21,1,6,139,2965,16,85,1,0
48,74,2,2025-03-06,1,22,442,8612,52,86,1,0
49,76,1,2025-11-05,1,6,146,2935,15,87,1,0
50,77,1,2025-02-03,1,23,463,9201,56,88,1,0
51,79,1,2025-05-09,1,10,212,4204,23,90,1,0
52,80,1,2025-10-20,1,26,519,10249,62,91,1,0
53,82,1,2025-09-15,1,6,131,2857,15,94,1,0
54,82,1,2025-08-26,1,6,131,2885,16,95,1,0
55,84,1,2025-12-06,1,22,449,8936,53,97,1,0
56,85,1,2025-04-01,1,5,103,2160,11,98,1,0
57,86,1,2025-03-20,1,12,258,5081,30,103,1,0
58,87,1,2025-10-13,1,5,124,2665,11,104,1,0
59,88,2,2026-01-20,1,11,222,4893,25,105,1,0
60,89,2,2025-04-12,1,22,441,8585,51,106,1,0
61,91,1,2025-04-11,1,15,308,6251,36,109,1,0
62,92,1,2025-04-09,1,5,112,2310,12,110,1,0
63,94,1,2025-11-17,1,26,521,10303,61,112,1,0
64,95,1,2025-10-04,1,21,427,8172,50,115,1,0
65,99,1,2025-07-01,1,10,209,4113,24,120,1,0
66,100,1,2025-05-10,1,31,602,11697,71,121,1,0
67,102,2,2025-06-24,1,27,545,10611,63,124,1,0
68,103,1,2025-10-30,1,5,112,2432,14,125,1,0
69,104,1,2026-01-06,1,23,464,9250,56,127,1,0
70,105,1,2025-02-23,1,25,506,9802,59,130,1,0
71,106,1,2025-09-14,1,5,108,2356,11,133,1,0
72,108,2,2025-05-27,1,20,402,7790,47,136,1,0
73,110,1,2025-11-17,1,4,87,1982,10,138,1,0
74,112,1,2025-10-21,1,10,214,4355,23,142,1,0
75,113,1,2025-07-03,1,5,108,2450,13,144,1,0
76,114,1,2025-08-20,1,3,53,1262,6,146,1,0
