CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,2,2025-12-27,B,11342
2,3,2025-03-01,C,3419
3,4,2025-09-08,C,2205
4,7,2025-06-22,A,9201
5,8,2025-11-28,B,1589
6,9,2026-03-25,A,2405
7,10,2025-08-04,A,9079
8,11,2025-03-16,B,9532
9,12,2025-07-06,A,2667
10,13,2025-12-19,A,1525
11,14,2025-12-30,A,6835
12,15,2026-02-17,C,9298
13,17,2025-09-25,C,4966
14,18,2025-05-13,A,2665
15,19,2025-10-12,A,6227
16,20,2025-10-21,A,1914
17,21,2025-09-14,A,2385
18,22,2025-10-22,A,5423
19,23,2025-08-30,C,11143
20,25,2025-06-06,A,1961
21,26,2025-06-20,B,2205
22,27,2026-01-22,A,9200
23,28,2025-10-21,A,2664
24,29,2025-07-06,A,2571
25,33,2025-04-01,A,4275
26,34,2025-10-02,A,4275
27,36,2026-03-06,A,3402
28,38,2025-09-28,A,2202
29,40,2025-06-13,A,2523
30,41,2025-04-14,A,9650
31,43,2025-11-17,A,11840
32,44,2025-10-24,A,6981
33,45,2025-07-06,C,2258
34,46,2025-07-31,A,10459
35,47,2026-01-05,A,2182
36,49,2025-02-17,A,8482
37,52,2025-11-05,A,3510
38,53,2025-08-02,C,2259
39,54,2025-09-27,A,2451
40,55,2025-06-16,A,2284
41,56,2025-06-08,A,2406
42,57,2025-11-06,A,11553
43,58,2025-06-08,A,3729
44,62,2025-08-18,A,2451
45,63,2025-11-19,A,10069
46,65,2025-03-31,C,2665
47,66,2025-03-31,C,2963
48,67,2025-05-06,A,5638
49,71,2025-08-30,A,9157
50,72,2025-12-28,C,2357
51,73,2025-09-01,A,2791
52,74,2025-03-18,A,8959
53,75,2025-07-27,C,7386
54,76,2025-12-21,A,2984
55,77,2025-06-22,A,9250
56,79,2025-07-09,A,4374
57,80,2025-11-07,A,10028
58,81,2025-07-26,C,4673
59,82,2025-12-13,A,2690
60,83,2025-07-22,C,11650
61,84,2026-01-09,A,8632
62,85,2025-04-21,A,2183
63,86,2025-06-02,A,5187
64,87,2026-01-16,A,2181
65,88,2026-01-24,A,4700
66,89,2025-05-09,A,8936
67,91,2025-08-23,B,6341
68,93,2025-09-04,C,3559
69,94,2026-02-19,A,10305
70,95,2025-11-25,A,8270
71,99,2025-10-17,A,4353
72,100,2025-08-08,A,11889
73,102,2025-06-23,A,10488
74,103,2025-12-03,A,2182
75,105,2025-02-28,A,9901
76,107,2025-04-01,B,3492
77,108,2025-08-29,A,8017
78,110,2025-12-29,A,1888
79,112,2025-11-29,A,4329
80,113,2025-08-08,A,2282
81,114,2025-09-21,A,1139
82,115,2025-07-17,A,4471
83,116,2025-07-25,A,2358
84,117,2025-09-12,A,9077
85,118,2025-02-22,A,2356
86,119,2025-08-12,A,556
87,121,2026-01-01,A,3166
88,122,2025-08-16,C,9691
89,123,2025-10-03,C,5444
90,124,2025-09-03,A,10302
91,125,2025-07-05,A,10944
92,126,2026-04-03,B,1441
93,127,2025-11-24,C,2594
94,128,2025-04-17,A,2202
95,129,2025-08-09,A,11068
96,130,2026-01-05,A,7520
97,132,2026-01-26,A,11511
98,134,2025-07-28,B,10204
99,135,2026-02-14,B,11039
100,136,2025-07-16,A,6298
101,139,2025-10-03,A,4330
102,140,2026-01-26,B,2310
103,141,2025-08-22,A,6812
104,142,2026-01-05,A,1763
105,143,2025-05-14,A,2665
106,144,2025-07-14,A,2666
107,145,2026-03-02,A,9128
108,146,2025-11-30,C,384
109,147,2025-07-14,A,2231
110,148,2025-09-21,A,2203
111,149,2025-08-21,C,6929
112,150,2026-03-13,A,10324
113,151,2025-04-26,A,4374
114,152,2025-06-27,A,9782
115,153,2025-07-02,A,3264
116,154,2025-08-23,A,4401
117,157,2025-07-08,C,10177
118,158,2026-02-08,A,6175
119,159,2025-12-17,A,2433
120,161,2025-07-18,A,2911
121,163,2026-01-19,A,7436
122,164,2025-12-21,A,9669
123,165,2025-06-01,C,6363
124,166,2025-06-10,A,2231
125,168,2025-06-17,A,2451
126,169,2025-08-26,A,2594
127,170,2026-05-04,A,2205
128,171,2026-02-03,A,10091
129,172,2026-01-04,A,9651
130,173,2025-06-08,B,9127
131,174,2025-05-02,C,10771
132,176,2025-12-30,A,2474
133,177,2025-06-03,B,989
134,178,2025-07-04,B,683
135,179,2025-12-21,A,6690
136,180,2025-07-03,A,3010
137,181,2025-07-21,A,5541
138,182,2025-09-03,A,9823
139,183,2025-06-02,A,2205
140,184,2025-12-07,A,2615
141,185,2025-08-21,A,9560
142,186,2025-04-14,C,526
143,187,2025-10-07,A,10943
144,189,2025-05-18,A,810
145,190,2026-02-10,C,2336
146,193,2025-07-28,A,1761
147,194,2025-05-14,A,1287
148,196,2025-06-05,C,2183
149,197,2026-03-27,C,2451
150,198,2026-02-01,A,9006
151,199,2025-06-10,A,3582
152,200,2025-04-02,A,8119
153,201,2025-03-20,B,2643
154,202,2025-07-03,A,2311
155,203,2025-08-24,C,1632
156,204,2025-02-22,A,9709
157,207,2025-11-02,A,2404
158,208,2025-08-03,A,4594
159,209,2025-08-02,A,7573
160,210,2025-07-03,A,4249
161,211,2025-07-02,A,6436
162,214,2025-08-17,A,6382
163,216,2025-06-02,A,2230
164,219,2025-12-16,C,6836
165,221,2025-12-27,B,6783
166,222,2025-07-04,A,7387
167,223,2025-09-26,A,2450
168,224,2025-08-22,C,10919
169,226,2025-08-13,A,2595
170,228,2025-11-23,C,10535
171,229,2025-06-18,A,9950
172,230,2025-08-08,A,5636
173,231,2025-01-27,A,1662
174,232,2025-10-11,B,4159
175,238,2025-06-11,A,7573
176,239,2025-06-17,A,742
177,240,2025-12-23,A,10160
178,241,2025-12-16,A,1961
179,242,2025-06-28,A,9692
180,243,2026-04-04,A,9802
181,246,2025-03-25,A,2181
182,247,2025-07-18,A,2812
183,249,2025-05-26,A,6691
184,251,2025-03-02,A,2180
185,252,2025-06-05,C,11650
186,253,2025-10-19,A,10853
187,254,2025-11-22,A,10636
188,255,2025-10-05,A,11037
189,256,2026-01-21,A,2205
190,257,2025-07-24,C,9922
191,258,2025-10-07,A,7314
192,259,2025-04-01,A,10395
193,260,2025-06-21,A,8147
194,261,2025-07-10,A,9876
195,262,2025-12-21,C,9200
