UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
1,Karnataka State Police Headquarters,9,,1,1,1,1
2,Bengaluru City Range,8,1.0,1,1,1,1
3,Bengaluru Range,8,1.0,1,1,1,1
4,Mysuru Range,8,1.0,1,1,1,1
5,Belagavi Range,8,1.0,1,1,1,1
6,Kalaburagi Range,8,1.0,1,1,1,1
7,North East Range,8,1.0,1,1,1,1
8,"Office of the SP, Bagalkot",7,3.0,1,1,1,1
9,Bagalkot Circle-1,5,8.0,1,1,1,1
10,Bagalkot Circle-2,5,8.0,1,1,1,1
11,Bagalkot Circle-3,5,8.0,1,1,1,1
12,Bagalkot Circle-4,5,8.0,1,1,1,1
13,Bagalkot Town Police Station,1,9.0,1,1,1,1
14,Bagalkot Rural Police Station,1,9.0,1,1,1,1
15,Bagalkot East Police Station,1,11.0,1,1,1,1
16,Bagalkot-West PS #4,1,10.0,1,1,1,1
17,Bagalkot-North PS #5,1,10.0,1,1,1,1
18,Bagalkot-South PS #6,1,10.0,1,1,1,1
19,Bagalkot-Extension PS #7,1,9.0,1,1,1,1
20,Bagalkot-Industrial Area PS #8,1,9.0,1,1,1,1
21,Bagalkot-Old City PS #9,1,12.0,1,1,1,1
22,Bagalkot-New Town PS #10,1,9.0,1,1,1,1
23,Bagalkot-Market PS #11,1,9.0,1,1,1,1
24,Bagalkot Traffic Police Station,2,8.0,1,1,1,1
25,Bagalkot Women Police Station,3,8.0,1,1,1,1
26,Bagalkot Cyber Crime Police Station,4,8.0,1,1,1,1
27,"Office of the SP, Ballari",7,4.0,1,1,2,1
28,Ballari Circle-1,5,27.0,1,1,2,1
29,Ballari Circle-2,5,27.0,1,1,2,1
30,Ballari Town Police Station,1,28.0,1,1,2,1
31,Ballari Rural Police Station,1,28.0,1,1,2,1
32,Ballari East Police Station,1,28.0,1,1,2,1
33,Ballari-West PS #4,1,28.0,1,1,2,1
34,Ballari-North PS #5,1,28.0,1,1,2,1
35,Ballari-South PS #6,1,29.0,1,1,2,1
36,Ballari-Extension PS #7,1,28.0,1,1,2,1
37,Ballari-Industrial Area PS #8,1,29.0,1,1,2,1
38,Ballari-Old City PS #9,1,29.0,1,1,2,1
39,Ballari-New Town PS #10,1,28.0,1,1,2,1
40,Ballari-Market PS #11,1,28.0,1,1,2,1
41,Ballari-Cantonment PS #12,1,29.0,1,1,2,1
42,Ballari-Suburb PS #13,1,29.0,1,1,2,1
43,Ballari-Town PS #14,1,29.0,1,1,2,1
44,Ballari Traffic Police Station,2,27.0,1,1,2,1
45,Ballari Women Police Station,3,27.0,1,1,2,1
46,Ballari Cyber Crime Police Station,4,27.0,1,1,2,1
47,"Office of the SP, Belagavi",7,5.0,1,1,3,1
48,Belagavi Circle-1,5,47.0,1,1,3,1
49,Belagavi Circle-2,5,47.0,1,1,3,1
50,Belagavi Circle-3,5,47.0,1,1,3,1
51,Belagavi Circle-4,5,47.0,1,1,3,1
52,Belagavi Town Police Station,1,49.0,1,1,3,1
53,Belagavi Rural Police Station,1,49.0,1,1,3,1
54,Belagavi East Police Station,1,50.0,1,1,3,1
55,Belagavi-West PS #4,1,48.0,1,1,3,1
56,Belagavi-North PS #5,1,48.0,1,1,3,1
57,Belagavi-South PS #6,1,51.0,1,1,3,1
58,Belagavi-Extension PS #7,1,48.0,1,1,3,1
59,Belagavi-Industrial Area PS #8,1,50.0,1,1,3,1
60,Belagavi-Old City PS #9,1,50.0,1,1,3,1
61,Belagavi-New Town PS #10,1,50.0,1,1,3,1
62,Belagavi-Market PS #11,1,48.0,1,1,3,1
63,Belagavi-Cantonment PS #12,1,51.0,1,1,3,1
64,Belagavi-Suburb PS #13,1,48.0,1,1,3,1
65,Belagavi-Town PS #14,1,51.0,1,1,3,1
66,Belagavi-Rural PS #15,1,48.0,1,1,3,1
67,Belagavi-East PS #16,1,50.0,1,1,3,1
68,Belagavi-West PS #17,1,50.0,1,1,3,1
69,Belagavi-North PS #18,1,49.0,1,1,3,1
70,Belagavi-South PS #19,1,48.0,1,1,3,1
71,Belagavi-Extension PS #20,1,48.0,1,1,3,1
72,Belagavi-Industrial Area PS #21,1,49.0,1,1,3,1
73,Belagavi-Old City PS #22,1,50.0,1,1,3,1
74,Belagavi-New Town PS #23,1,48.0,1,1,3,1
